16,178
15,105
17,16
14,261
13,31
16,111
3,183
15,142
3,190
19,147
13,72
3,178
12,38
15,89
14,225
15,136
0,264
19,92
17,131
16,37
11,20
13,27
3,78
19,70
16,140
15,214
3,215
5,260
4,239
3,251
15,155
3,28
18,249
14,173
16,21
8,255
3,68
17,256
3,191
13,126
9,64
7,194
17,40
16,244
13,40
15,225
3,79
0,225
14,200
4,38
15,256
3,81
15,78
2,235
15,74
14,141
3,182
16,167
16,86
10,255
14,144
3,73
3,125
15,194
17,128
3,97
6,72
18,239
9,54
3,5
16,257
19,160
16,100
13,180
15,82
15,211
16,199
16,75
16,187
3,206
16,46
1,245
3,254
4,261
9,263
3,102
17,38
3,204
17,159
16,84
12,56
0,71
16,211
19,213
16,38
7,149
17,146
16,85
3,29
13,48
16,102
7,225
19,130
16,260
13,165
16,189
15,159
15,180
12,142
15,97
15,204
3,80
11,227
8,140
12,146
15,21
14,140
3,83
11,169
16,180
14,205
