7,202
14,157
14,261
7,204
20,170
21,131
3,202
20,186
2,139
2,151
14,190
2,182
14,225
17,47
15,136
22,146
15,118
19,92
15,110
18,21
15,16
21,159
14,33
21,224
14,2
14,193
14,36
8,255
14,163
18,173
4,205
3,131
2,146
8,74
3,193
20,237
1,141
19,12
16,125
1,143
6,162
1,130
14,204
22,129
18,223
8,76
3,33
2,235
11,204
20,118
18,146
10,255
1,159
2,36
18,130
3,132
16,49
14,161
3,110
7,193
22,49
20,260
16,29
21,142
14,123
3,16
17,237
16,148
14,187
11,224
1,168
2,186
4,131
19,118
15,224
1,145
18,205
14,222
4,142
3,224
18,145
2,16
4,261
2,140
2,223
1,146
14,74
3,204
21,161
3,225
20,160
20,142
16,205
21,261
11,202
20,29
16,195
1,139
3,150
17,112
2,150
13,172
0,166
5,223
15,123
21,146
14,223
15,204
1,160
15,27
12,146
7,76
20,173
14,205
