16,178
15,105
14,157
12,246
13,154
16,111
15,142
3,190
2,151
12,186
12,38
15,89
12,250
2,182
12,180
15,110
16,37
11,181
0,207
15,214
14,2
15,155
14,167
9,226
11,218
14,36
14,163
3,131
6,260
2,146
13,97
16,244
9,225
15,225
3,245
12,227
4,38
15,256
12,127
19,183
12,226
15,78
12,133
2,235
15,74
9,135
18,146
16,86
15,194
16,49
11,142
14,161
3,110
22,49
13,103
16,257
14,187
2,186
16,100
13,180
12,34
15,82
15,211
16,199
16,75
16,187
3,224
13,118
16,46
12,136
2,223
9,153
1,146
12,167
17,38
12,243
3,225
12,203
16,84
14,122
16,211
16,38
1,249
11,195
7,149
3,150
2,150
16,85
16,102
16,189
6,39
15,180
12,3
15,97
7,76
16,180
