16,178
15,105
12,246
13,154
14,261
13,31
16,111
3,183
15,142
3,190
12,186
12,38
15,89
12,250
12,180
17,131
16,37
11,181
0,207
13,27
15,214
3,215
3,251
15,155
14,167
9,226
11,218
14,173
16,21
8,255
3,68
17,256
6,260
13,126
2,146
8,74
13,97
16,244
9,225
7,167
15,225
3,245
3,79
12,227
4,38
15,256
12,127
19,183
12,226
15,78
7,102
12,133
2,235
15,74
11,43
9,135
16,86
12,252
10,255
3,125
15,194
20,81
3,97
11,142
11,254
18,239
13,103
16,257
16,100
13,180
12,34
15,82
15,211
16,199
16,75
16,187
13,118
16,46
3,254
3,257
4,261
12,136
13,61
9,153
1,146
3,102
12,167
12,209
17,38
12,243
12,203
16,84
14,122
16,211
19,213
16,38
13,228
1,249
11,195
7,149
16,85
13,48
16,102
19,130
16,260
16,189
6,39
15,159
15,180
12,3
15,97
11,227
3,42
14,140
7,76
16,180
